I hear a grinding noise as I drive.,other
"Leak of a clear, cloudy, oil like substance in the front.",other
Cannot get the car would make a click click clicking sound - maybe a dead battery?,starter
Have to cycle the ignition three times before the car to turn over.,starter
While driving I hear lot of grinding and scraping noises when stopping.,brakes
"It takes a long time to start, and if I push the key and hear funny sounds but nothing happens.",starter
I think my alignment is bad.,other
I tried starting my car starts.,starter
"When it rains, the car won't shift out of the car.",other
When I turn the key and nothing happens,starter
Just that odd clicking noise....,starter
I don't get it.,other
Alternator is faulty,starter
The seat belt itself on the side of the car.,other
Shuttering when accelerating,other
Plus it seems it takes more force to stop when I press on the brakes.,brakes
"I can't put gas in my car if the control says, eg.",other
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
My car is behaving very weird.,other
It seems like I have to brake again.,brakes
That is all,other
super frustrating every time I start my car starts.,starter
My car makes a sputtering noise and does not start.,starter
Parking brake doesn’t return once released,brakes
Front right corner is dented from a collision.,other
"sometimes, it won't go up at all!",other
Car creates whistle sound each time I start it,starter
It seems like I have to brake the car made horrible grinding noises.,brakes
My tire keeps going flat.,other
The windshield has a lot of black smoke and acrid smell.,other
It is very unpleasant.,brakes
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
"This is the third one, and I hear a rattling noise when I push the gas peddle.",other
I turn the key and nothing happens,starter
The car is very slow to get moving and there's a horrible grinding noise as I drive.,other
Alternator is faulty,starter
The oil change has been performed.,other
I have the button pushed in and the fan is running full blast.,other
Metallic scraping or grinding noise when stopping.,brakes
my brakes make a terrible sound when stopping.,brakes
Car makes a squeaky noise when stopping.,brakes
"This must be a sensor issue on this tire, but I'm not sure.",other
my brakes make a terrible sound when stopping.,brakes
The gas door won't open.,other
It makes a weird whirring sound every time I try to start the engine doesn’t power up,starter
Dashboard computer reboots when traveling above 80mph,other
I'm hearing a noise and feeling a vibration when I push the gas peddle.,other
"When I hit the start button to turn everything off, everything stays on.",other
"super frustrating every time I start my car it just stops again, what is wrong!",starter
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
Steering wheel shakes uncontrollably when I push the gas peddle.,other
"Rear right tail light is on, which means I need to have the car is behaving very weird.",other
"When I hit the start button to turn everything off, everything stays on.",other
Brake pedal vibrates or feels unsteady as you press down,brakes
Alternator is faulty,starter
The car pulls to the air bag or seat belt.,other
There's slack in my car,other
car makes grinding noise,brakes
"This must be a sensor issue on this tire, but I'm not sure.",other
Cannot get the car to turn over.,starter
my brakes make a squeaking noise whenever I try to stop the car.,brakes
Sometimes the car to turn over.,starter
"This must be a sensor issue on this tire, but I'm not sure.",other
I keep my foot firmly pressing down on the brake pedal vibrates,brakes
Car dies when I step on the the fourth time.,starter
Squealing sound,brakes
It makes clunking noises when I open my rear trunk,other
"When I try to start the car, it spits and sputters for a while and never turns over.",starter
"A/C is working, but is not blowing out cold air",other
The battery is getting old so my range is a bit short these days.,other
I have a keyless start system and when I stop at a light or stop sign and then nothing happens.,starter
My tire keeps going flat.,other
Brake pedal vibrates or feels unsteady as you press down,brakes
"The battery is getting old so my range is a lag when I manually check it, it is fine.",other
"When I drive, I feel like the car evaluated.",other
"When I tried to drive, the car",brakes
Please help ASAP!,starter
"When I'm taking a left turn, the steering wheel shakes uncontrollably when I bought the car.",other
Exhaust has a lot of black smoke and acrid smell.,other
The windshield has a lot of black smoke and acrid smell.,other
Car creates whistle sound each time I try to start the engine doesn’t power up,starter
There isn't an immediate response.,other
